state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,split_group,model_ready_flag,source_note,source_file,source_sheet,processed_dataset_name,processed_status
Kebbi,2022,0.42612297365964674,10,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kogi,2018,0.19823595897757976,37,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kogi,2019,0.1879185080233687,32,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kogi,2020,0.18881607883081242,31,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kogi,2022,0.18563692317607422,35,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kwara,2018,0.2132890400670014,33,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kwara,2019,0.185600554751789,34,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kwara,2020,0.18650200186808868,33,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kwara,2022,0.22585537037890963,28,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Lagos,2018,0.2773453310387093,24,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Lagos,2019,0.22470886578073154,24,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Lagos,2020,0.23084706439127434,24,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Lagos,2022,0.18775775124095123,34,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Nasarawa,2018,0.3306133504024309,19,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Nasarawa,2019,0.3341412535820715,19,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Nasarawa,2020,0.3294669617978016,19,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Nasarawa,2022,0.285067386419778,20,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Niger,2018,0.40040349304140516,11,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Niger,2019,0.4001508267781973,12,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Niger,2020,0.399714732150612,13,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Niger,2022,0.36113511051051705,16,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ogun,2018,0.23054463763785202,30,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ogun,2019,0.18748000291677142,33,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ogun,2020,0.19246617593986368,30,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ogun,2022,0.2166145958886858,29,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ondo,2018,0.47309796194681486,9,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ondo,2019,0.5135057887997018,4,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Ondo,2020,0.5382123982185781,4,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
