state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,pupil_teacher_ratio,pupil_classroom_ratio,unqualified_teacher_share,bad_classroom_share,enrolment_per_school,pupil_teacher_ratio_norm,pupil_classroom_ratio_norm,unqualified_teacher_share_norm,bad_classroom_share_norm,enrolment_per_school_norm,matching_grant_million_naira,core_indicator_completeness,split_group,model_ready_flag,source_note,processed_source_file,processed_source_sheet,processed_dataset_name,processed_status
Cross River,2019,0.17265429680671535,37,Lower Need,19.42691682470875,24.251204870212227,0.11297751286914115,0.44677432992305743,118.22712283594394,0.07398291772918644,0.05700205270859993,0.137204518201428,0.5830227197666302,0.012059275627732222,1519.86407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Cross River,2020,0.17519647967165172,37,Lower Need,20.378316273240024,24.74448296271244,0.11224845066499547,0.44677432992305743,120.63190436933223,0.08177693572620955,0.061475863837473735,0.1356542377425974,0.5830227197666302,0.014052641285347679,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Cross River,2022,0.18095001031583563,36,Lower Need,12.988239137536752,19.948319116909182,0.16067733856038333,0.4427997992975414,169.9017094017094,0.021236229838710933,0.017976808202345214,0.23863359687025293,0.5720101684727659,0.05489324819510307,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Delta,2018,0.2683612629513222,26,Lower Need,21.412552806276402,37.069652434352584,0.24019312009656005,0.4373476352998537,240.8185520361991,0.09024956850322899,0.17325962473388057,0.4077162369841089,0.5569034196904993,0.11367746484489312,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Delta,2019,0.2173235948477811,25,Medium Need,28.771831893081423,37.11986704521848,0.094680908163813,0.43480368395540475,241.46306306306306,0.150537971798208,0.17371504873981045,0.0982985530089839,0.5498546893347728,0.11421171135713028,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Delta,2020,0.21768172487178677,25,Medium Need,28.310395162131165,37.57091462570914,0.0948284850380565,0.43441261934412617,244.1771582733813,0.14675780754536355,0.17780584805956715,0.0986123609982255,0.5487711352005381,0.11646147255523968,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Delta,2022,0.21015932948819582,31,Lower Need,25.746430405752438,37.935749962161346,0.1292758089368259,0.3777054639019222,321.3352564102564,0.1257533940092842,0.1811147409807049,0.17186127281343727,0.3916480641069983,0.18041917553055442,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Ebonyi,2018,0.3246343386482827,20,Medium Need,33.10366417644966,39.834931506849315,0.1592315901814301,0.5593321917808219,234.39395465994963,0.18602504174425272,0.1983394660588273,0.2355593523853072,0.894895829833655,0.10835200321937159,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Ebonyi,2019,0.2986190755040859,20,Medium Need,36.55764558350968,39.93484589041096,0.08409749980405988,0.5593321917808219,234.98186397984887,0.2143206154799401,0.19924564471932085,0.0757939559051251,0.894895829833655,0.10883933158238844,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Ebonyi,2020,0.301778120527817,20,Medium Need,38.51360821382008,40.46566780821918,0.08050847457627118,0.5593321917808219,238.10528967254407,0.23034417736625198,0.20405996151028907,0.06816223992087539,0.894895829833655,0.11142839400801341,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Ebonyi,2022,0.2616656162227856,22,Medium Need,29.960140474100086,33.99203107879271,0.10272168568920105,0.512102799083574,252.4008875739645,0.16027278768524073,0.1453469789458304,0.11539649088113096,0.7640335573636893,0.12327826623803685,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Edo,2018,0.22128900998858886,31,Lower Need,30.846691806650668,36.84676494676495,0.14405210833047652,0.4084357084357084,209.3527221963704,0.16753555943884124,0.17123813515707384,0.20328164829518403,0.47679482131870676,0.08759488573313864,1473.83284521,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Edo,2019,0.2019329926926285,27,Lower Need,42.98962497620408,36.99009009009009,0.0508280982295831,0.4084357084357084,210.1670544439274,0.2670124298598324,0.17253802994462755,0.005049782301532705,0.47679482131870676,0.08826990003844305,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
